2015-06-23 10:57:21 [DEBUG] root:61 	difflib.DiffUtils:89
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.PatcherTest:23
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:38
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:37
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:40
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:39
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:36
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch:26
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.DiffUtils:67
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.Patcher:19
2015-06-23 10:57:21 [DEBUG] root:61 	Slicing - create Trace file: 18274 ms
2015-06-23 10:57:21 [DEBUG] root:61 	Slicing - slice: 2 ms
2015-06-23 10:57:21 [DEBUG] root:61 	Slicing - read trace file: 15454 ms
2015-06-23 10:57:21 [DEBUG] root:61 	Slicing Overall: 33730 ms
